DZN,Mode,Persons
110078098,Train,0
110078098,Bus,0
110078098,Ferry,0
110078098,Tram,0
110078098,Taxi,0
110078098,"Car, as driver",59
110078098,"Car, as passenger",3
110078098,Truck,5
110078098,Motorbike/scooter,0
110078098,Bicycle,0
110078098,Walked only,8
110078098,Worked at home,39
110078099,Train,0
110078099,Bus,3
110078099,Ferry,0
110078099,Tram,0
110078099,Taxi,0
110078099,"Car, as driver",407
110078099,"Car, as passenger",27
110078099,Truck,22
110078099,Motorbike/scooter,0
110078099,Bicycle,4
110078099,Walked only,79
110078099,Worked at home,97
110078100,Train,0
110078100,Bus,0
110078100,Ferry,0
110078100,Tram,0
110078100,Taxi,0
110078100,"Car, as driver",50
110078100,"Car, as passenger",0
110078100,Truck,3
110078100,Motorbike/scooter,0
110078100,Bicycle,0
110078100,Walked only,15
110078100,Worked at home,77
110088084,Train,0
110088084,Bus,0
110088084,Ferry,0
110088084,Tram,0
110088084,Taxi,4
110088084,"Car, as driver",538
110088084,"Car, as passenger",49
110088084,Truck,7
110088084,Motorbike/scooter,0
110088084,Bicycle,0
110088084,Walked only,32
110088084,Worked at home,69
110098077,Train,3
110098077,Bus,45
110098077,Ferry,3
110098077,Tram,0
110098077,Taxi,15
110098077,"Car, as driver",3905
110098077,"Car, as passenger",337
110098077,Truck,29
110098077,Motorbike/scooter,37
110098077,Bicycle,24
110098077,Walked only,283
110098077,Worked at home,106
110108087,Train,0
110108087,Bus,12
110108087,Ferry,0
110108087,Tram,0
110108087,Taxi,8
110108087,"Car, as driver",2089
110108087,"Car, as passenger",183
110108087,Truck,44
110108087,Motorbike/scooter,18
110108087,Bicycle,8
110108087,Walked only,59
110108087,Worked at home,54
110118090,Train,0
110118090,Bus,0
110118090,Ferry,0
110118090,Tram,0
110118090,Taxi,0
110118090,"Car, as driver",232
110118090,"Car, as passenger",16
110118090,Truck,21
110118090,Motorbike/scooter,0
110118090,Bicycle,0
110118090,Walked only,18
110118090,Worked at home,57
110118091,Train,0
110118091,Bus,4
110118091,Ferry,0
110118091,Tram,0
110118091,Taxi,0
110118091,"Car, as driver",474
110118091,"Car, as passenger",39
110118091,Truck,4
110118091,Motorbike/scooter,3
110118091,Bicycle,4
110118091,Walked only,34
110118091,Worked at home,58
110118092,Train,4
110118092,Bus,5
110118092,Ferry,0
110118092,Tram,0
110118092,Taxi,5
110118092,"Car, as driver",732
110118092,"Car, as passenger",19
110118092,Truck,18
110118092,Motorbike/scooter,7
110118092,Bicycle,0
110118092,Walked only,35
110118092,Worked at home,180
110118093,Train,0
110118093,Bus,7
110118093,Ferry,0
110118093,Tram,0
110118093,Taxi,0
110118093,"Car, as driver",96
110118093,"Car, as passenger",0
110118093,Truck,9
110118093,Motorbike/scooter,0
110118093,Bicycle,0
110118093,Walked only,8
110118093,Worked at home,59
110118094,Train,0
110118094,Bus,11
110118094,Ferry,0
110118094,Tram,0
110118094,Taxi,0
110118094,"Car, as driver",134
110118094,"Car, as passenger",6
110118094,Truck,4
110118094,Motorbike/scooter,0
110118094,Bicycle,0
110118094,Walked only,9
110118094,Worked at home,45
110118095,Train,0
110118095,Bus,0
110118095,Ferry,0
110118095,Tram,0
110118095,Taxi,0
110118095,"Car, as driver",94
110118095,"Car, as passenger",7
110118095,Truck,5
110118095,Motorbike/scooter,0
110118095,Bicycle,0
110118095,Walked only,11
110118095,Worked at home,53
110128080,Train,0
110128080,Bus,0
110128080,Ferry,3
110128080,Tram,0
110128080,Taxi,0
110128080,"Car, as driver",1144
110128080,"Car, as passenger",43
110128080,Truck,35
110128080,Motorbike/scooter,3
110128080,Bicycle,3
110128080,Walked only,21
110128080,Worked at home,30
110128081,Train,0
110128081,Bus,4
110128081,Ferry,0
110128081,Tram,0
110128081,Taxi,0
110128081,"Car, as driver",468
110128081,"Car, as passenger",47
110128081,Truck,13
110128081,Motorbike/scooter,0
110128081,Bicycle,0
110128081,Walked only,15
110128081,Worked at home,116
110138120,Train,0
110138120,Bus,0
110138120,Ferry,0
110138120,Tram,0
110138120,Taxi,0
110138120,"Car, as driver",80
110138120,"Car, as passenger",4
110138120,Truck,9
110138120,Motorbike/scooter,0
110138120,Bicycle,0
110138120,Walked only,3
110138120,Worked at home,29
110138121,Train,0
110138121,Bus,3
110138121,Ferry,0
110138121,Tram,0
110138121,Taxi,0
110138121,"Car, as driver",359
110138121,"Car, as passenger",19
110138121,Truck,5
110138121,Motorbike/scooter,5
110138121,Bicycle,0
110138121,Walked only,42
110138121,Worked at home,14
110138122,Train,0
110138122,Bus,0
110138122,Ferry,0
110138122,Tram,0
110138122,Taxi,0
110138122,"Car, as driver",114
110138122,"Car, as passenger",5
110138122,Truck,10
110138122,Motorbike/scooter,0
110138122,Bicycle,0
110138122,Walked only,15
110138122,Worked at home,40
110138123,Train,0
110138123,Bus,0
110138123,Ferry,0
110138123,Tram,0
110138123,Taxi,0
110138123,"Car, as driver",106
110138123,"Car, as passenger",7
110138123,Truck,8
110138123,Motorbike/scooter,0
110138123,Bicycle,0
110138123,Walked only,3
110138123,Worked at home,11
110148117,Train,4
110148117,Bus,11
110148117,Ferry,0
110148117,Tram,0
110148117,Taxi,13
110148117,"Car, as driver",2364
110148117,"Car, as passenger",203
110148117,Truck,24
110148117,Motorbike/scooter,12
110148117,Bicycle,21
110148117,Walked only,213
110148117,Worked at home,132
110158112,Train,0
110158112,Bus,0
110158112,Ferry,3
