SA2_CODE,SA2,Mode,Persons
101021007,Braidwood,Train,0
101021007,Braidwood,Bus,3
101021007,Braidwood,Ferry,0
101021007,Braidwood,Tram/light rail,0
101021007,Braidwood,Taxi/ride-share service,0
101021007,Braidwood,"Car, as driver",1120
101021007,Braidwood,"Car, as passenger",68
101021007,Braidwood,Truck,37
101021007,Braidwood,Motorbike/scooter,8
101021007,Braidwood,Bicycle,7
101021007,Braidwood,Walked only,125
101021007,Braidwood,Worked at home,411
101021008,Karabar,Train,0
101021008,Karabar,Bus,43
101021008,Karabar,Ferry,0
101021008,Karabar,Tram/light rail,0
101021008,Karabar,Taxi/ride-share service,4
101021008,Karabar,"Car, as driver",3161
101021008,Karabar,"Car, as passenger",280
101021008,Karabar,Truck,35
101021008,Karabar,Motorbike/scooter,38
101021008,Karabar,Bicycle,12
101021008,Karabar,Walked only,49
101021008,Karabar,Worked at home,288
101021009,Queanbeyan,Train,5
101021009,Queanbeyan,Bus,174
101021009,Queanbeyan,Ferry,0
101021009,Queanbeyan,Tram/light rail,3
101021009,Queanbeyan,Taxi/ride-share service,25
101021009,Queanbeyan,"Car, as driver",4260
101021009,Queanbeyan,"Car, as passenger",357
101021009,Queanbeyan,Truck,38
101021009,Queanbeyan,Motorbike/scooter,64
101021009,Queanbeyan,Bicycle,32
101021009,Queanbeyan,Walked only,203
101021009,Queanbeyan,Worked at home,452
101021010,Queanbeyan - East,Train,0
101021010,Queanbeyan - East,Bus,42
101021010,Queanbeyan - East,Ferry,0
101021010,Queanbeyan - East,Tram/light rail,0
101021010,Queanbeyan - East,Taxi/ride-share service,6
101021010,Queanbeyan - East,"Car, as driver",2072
101021010,Queanbeyan - East,"Car, as passenger",136
101021010,Queanbeyan - East,Truck,20
101021010,Queanbeyan - East,Motorbike/scooter,23
101021010,Queanbeyan - East,Bicycle,29
101021010,Queanbeyan - East,Walked only,85
101021010,Queanbeyan - East,Worked at home,233
101021012,Queanbeyan West - Jerrabomberra,Train,0
101021012,Queanbeyan West - Jerrabomberra,Bus,56
101021012,Queanbeyan West - Jerrabomberra,Ferry,0
101021012,Queanbeyan West - Jerrabomberra,Tram/light rail,0
101021012,Queanbeyan West - Jerrabomberra,Taxi/ride-share service,16
101021012,Queanbeyan West - Jerrabomberra,"Car, as driver",5286
101021012,Queanbeyan West - Jerrabomberra,"Car, as passenger",361
101021012,Queanbeyan West - Jerrabomberra,Truck,49
101021012,Queanbeyan West - Jerrabomberra,Motorbike/scooter,50
101021012,Queanbeyan West - Jerrabomberra,Bicycle,22
101021012,Queanbeyan West - Jerrabomberra,Walked only,62
101021012,Queanbeyan West - Jerrabomberra,Worked at home,710
101021610,Googong,Train,4
101021610,Googong,Bus,32
101021610,Googong,Ferry,0
101021610,Googong,Tram/light rail,0
101021610,Googong,Taxi/ride-share service,0
101021610,Googong,"Car, as driver",2556
101021610,Googong,"Car, as passenger",138
101021610,Googong,Truck,14
101021610,Googong,Motorbike/scooter,21
101021610,Googong,Bicycle,5
101021610,Googong,Walked only,40
101021610,Googong,Worked at home,382
101021611,Queanbeyan Surrounds,Train,3
101021611,Queanbeyan Surrounds,Bus,41
101021611,Queanbeyan Surrounds,Ferry,0
101021611,Queanbeyan Surrounds,Tram/light rail,19
101021611,Queanbeyan Surrounds,Taxi/ride-share service,0
101021611,Queanbeyan Surrounds,"Car, as driver",6045
101021611,Queanbeyan Surrounds,"Car, as passenger",358
101021611,Queanbeyan Surrounds,Truck,135
101021611,Queanbeyan Surrounds,Motorbike/scooter,45
101021611,Queanbeyan Surrounds,Bicycle,13
101021611,Queanbeyan Surrounds,Walked only,149
101021611,Queanbeyan Surrounds,Worked at home,1238
101031013,Bombala,Train,0
101031013,Bombala,Bus,0
101031013,Bombala,Ferry,0
101031013,Bombala,Tram/light rail,0
101031013,Bombala,Taxi/ride-share service,0
101031013,Bombala,"Car, as driver",724
101031013,Bombala,"Car, as passenger",31
101031013,Bombala,Truck,16
101031013,Bombala,Motorbike/scooter,4
101031013,Bombala,Bicycle,6
101031013,Bombala,Walked only,64
101031013,Bombala,Worked at home,147
101031014,Cooma,Train,0
101031014,Cooma,Bus,19
101031014,Cooma,Ferry,0
101031014,Cooma,Tram/light rail,0
101031014,Cooma,Taxi/ride-share service,12
101031014,Cooma,"Car, as driver",1942
101031014,Cooma,"Car, as passenger",191
101031014,Cooma,Truck,23
101031014,Cooma,Motorbike/scooter,17
101031014,Cooma,Bicycle,14
101031014,Cooma,Walked only,193
101031014,Cooma,Worked at home,275
101031015,Cooma Surrounds,Train,0
101031015,Cooma Surrounds,Bus,14
101031015,Cooma Surrounds,Ferry,0
101031015,Cooma Surrounds,Tram/light rail,0
101031015,Cooma Surrounds,Taxi/ride-share service,0
101031015,Cooma Surrounds,"Car, as driver",1059
101031015,Cooma Surrounds,"Car, as passenger",80
101031015,Cooma Surrounds,Truck,21
101031015,Cooma Surrounds,Motorbike/scooter,12
101031015,Cooma Surrounds,Bicycle,0
101031015,Cooma Surrounds,Walked only,63
101031015,Cooma Surrounds,Worked at home,293
101031016,Jindabyne - Berridale,Train,46
101031016,Jindabyne - Berridale,Bus,11
101031016,Jindabyne - Berridale,Ferry,3
101031016,Jindabyne - Berridale,Tram/light rail,0
101031016,Jindabyne - Berridale,Taxi/ride-share service,0
101031016,Jindabyne - Berridale,"Car, as driver",2609
101031016,Jindabyne - Berridale,"Car, as passenger",224
101031016,Jindabyne - Berridale,Truck,35
101031016,Jindabyne - Berridale,Motorbike/scooter,13
101031016,Jindabyne - Berridale,Bicycle,11
101031016,Jindabyne - Berridale,Walked only,382
101031016,Jindabyne - Berridale,Worked at home,695
101041017,Batemans Bay,Train,3
101041017,Batemans Bay,Bus,22
101041017,Batemans Bay,Ferry,0
101041017,Batemans Bay,Tram/light rail,0
101041017,Batemans Bay,Taxi/ride-share service,9
101041017,Batemans Bay,"Car, as driver",2025
101041017,Batemans Bay,"Car, as passenger",174
101041017,Batemans Bay,Truck,46
101041017,Batemans Bay,Motorbike/scooter,15
101041017,Batemans Bay,Bicycle,19
101041017,Batemans Bay,Walked only,97
101041017,Batemans Bay,Worked at home,262
101041018,Batemans Bay - South,Train,6
101041018,Batemans Bay - South,Bus,27
101041018,Batemans Bay - South,Ferry,0
101041018,Batemans Bay - South,Tram/light rail,0
101041018,Batemans Bay - South,Taxi/ride-share service,6
101041018,Batemans Bay - South,"Car, as driver",2187
101041018,Batemans Bay - South,"Car, as passenger",178
101041018,Batemans Bay - South,Truck,39
101041018,Batemans Bay - South,Motorbike/scooter,3
101041018,Batemans Bay - South,Bicycle,11
101041018,Batemans Bay - South,Walked only,51
101041018,Batemans Bay - South,Worked at home,362
101041019,Bega - Tathra,Train,0
101041019,Bega - Tathra,Bus,10
101041019,Bega - Tathra,Ferry,6
101041019,Bega - Tathra,Tram/light rail,0
101041019,Bega - Tathra,Taxi/ride-share service,4
101041019,Bega - Tathra,"Car, as driver",2492
101041019,Bega - Tathra,"Car, as passenger",177
101041019,Bega - Tathra,Truck,35
101041019,Bega - Tathra,Motorbike/scooter,16
101041019,Bega - Tathra,Bicycle,31
101041019,Bega - Tathra,Walked only,224
101041019,Bega - Tathra,Worked at home,361
101041020,Bega-Eden Hinterland,Train,0
101041020,Bega-Eden Hinterland,Bus,15
101041020,Bega-Eden Hinterland,Ferry,0
101041020,Bega-Eden Hinterland,Tram/light rail,0
101041020,Bega-Eden Hinterland,Taxi/ride-share service,5
101041020,Bega-Eden Hinterland,"Car, as driver",2607
101041020,Bega-Eden Hinterland,"Car, as passenger",125
101041020,Bega-Eden Hinterland,Truck,88
101041020,Bega-Eden Hinterland,Motorbike/scooter,27
101041020,Bega-Eden Hinterland,Bicycle,7
101041020,Bega-Eden Hinterland,Walked only,144
101041020,Bega-Eden Hinterland,Worked at home,689
101041021,Broulee - Tomakin,Train,0
101041021,Broulee - Tomakin,Bus,3
101041021,Broulee - Tomakin,Ferry,0
101041021,Broulee - Tomakin,Tram/light rail,0
101041021,Broulee - Tomakin,Taxi/ride-share service,0
101041021,Broulee - Tomakin,"Car, as driver",961
101041021,Broulee - Tomakin,"Car, as passenger",51
101041021,Broulee - Tomakin,Truck,18
101041021,Broulee - Tomakin,Motorbike/scooter,4
101041021,Broulee - Tomakin,Bicycle,26
101041021,Broulee - Tomakin,Walked only,49
101041021,Broulee - Tomakin,Worked at home,209
101041022,Deua - Wadbilliga,Train,0
101041022,Deua - Wadbilliga,Bus,0
101041022,Deua - Wadbilliga,Ferry,0
101041022,Deua - Wadbilliga,Tram/light rail,0
101041022,Deua - Wadbilliga,Taxi/ride-share service,0
101041022,Deua - Wadbilliga,"Car, as driver",9
101041022,Deua - Wadbilliga,"Car, as passenger",0
101041022,Deua - Wadbilliga,Truck,0
101041022,Deua - Wadbilliga,Motorbike/scooter,0
101041022,Deua - Wadbilliga,Bicycle,0
101041022,Deua - Wadbilliga,Walked only,0
101041022,Deua - Wadbilliga,Worked at home,5
101041023,Eden,Train,0
101041023,Eden,Bus,4
101041023,Eden,Ferry,0
101041023,Eden,Tram/light rail,0
101041023,Eden,Taxi/ride-share service,0
101041023,Eden,"Car, as driver",818
101041023,Eden,"Car, as passenger",63
101041023,Eden,Truck,21
101041023,Eden,Motorbike/scooter,0
101041023,Eden,Bicycle,0
101041023,Eden,Walked only,59
101041023,Eden,Worked at home,86
101041024,Eurobodalla Hinterland,Train,0
