LGA_HTS_CODE,LGA_HTS,LGA_16_CODE,LGA_16,LGA_24_CODE,LGA_24,SA2_16_CODE,SA2_16,SA2_LGA_weight,CO2_weighted,CO2_total,SA2_LGA_CO2_ratio,CO2_total_car,CO2_total_car_prop
1650,Central Coast,11650,Central Coast (C) (NSW),102011028,Central Coast (NSW),102011028,Avoca Beach - Copacabana,0.022319726,40.58704084,1818.438131,0.056446228,1776.549755,0.97696464
1650,Central Coast,11650,Central Coast (C) (NSW),102011029,Central Coast (NSW),102011029,Box Head - MacMasters Beach,0.032611515,57.29394866,1756.862527,0.020673048,1684.989238,0.959089976
1650,Central Coast,11650,Central Coast (C) (NSW),102011030,Central Coast (NSW),102011030,Calga - Kulnura,0.014349921,22.73609853,1584.405833,-0.079518001,1557.415975,0.982965313
1650,Central Coast,11650,Central Coast (C) (NSW),102011031,Central Coast (NSW),102011031,Erina - Green Point,0.042564617,67.9414434,1596.195342,-0.072668726,1558.620049,0.976459464
1650,Central Coast,11650,Central Coast (C) (NSW),102011032,Central Coast (NSW),102011032,Gosford - Springfield,0.057369171,82.66109707,1440.862673,-0.162911342,1379.433644,0.957366493
1650,Central Coast,11650,Central Coast (C) (NSW),102011033,Central Coast (NSW),102011033,Kariong,0.01946988,36.35309672,1867.145392,0.08474337,1832.329079,0.981353186
1650,Central Coast,11650,Central Coast (C) (NSW),102011034,Central Coast (NSW),102011034,Kincumber - Picketts Valley,0.022298367,37.32797471,1674.022798,-0.027453813,1632.215511,0.975025856
1650,Central Coast,11650,Central Coast (C) (NSW),102011035,Central Coast (NSW),102011035,Narara,0.02026625,33.66483856,1661.128159,-0.034945128,1605.323834,0.966405768
1650,Central Coast,11650,Central Coast (C) (NSW),102011036,Central Coast (NSW),102011036,Niagara Park - Lisarow,0.0244922,40.51445452,1654.177841,-0.038983009,1610.442605,0.973560741
1650,Central Coast,11650,Central Coast (C) (NSW),102011037,Central Coast (NSW),102011037,Point Clare - Koolewong,0.018938966,30.80502851,1626.542257,-0.055038275,1534.718713,0.943546782
1650,Central Coast,11650,Central Coast (C) (NSW),102011038,Central Coast (NSW),102011038,Saratoga - Davistown,0.021294514,36.7965838,1727.984203,0.003895795,1696.43654,0.981743083
1650,Central Coast,11650,Central Coast (C) (NSW),102011039,Central Coast (NSW),102011039,Terrigal - North Avoca,0.040718625,67.6637059,1661.738477,-0.034590555,1625.696192,0.978310495
1650,Central Coast,11650,Central Coast (C) (NSW),102011040,Central Coast (NSW),102011040,Umina - Booker Bay - Patonga,0.071972344,115.4202674,1603.675259,-0.068323168,1514.807776,0.944585113
1650,Central Coast,11650,Central Coast (C) (NSW),102011041,Central Coast (NSW),102011041,Wamberal - Forresters Beach,0.029773874,51.9429864,1744.58273,0.013538934,1714.767073,0.982909577
1650,Central Coast,11650,Central Coast (C) (NSW),102011042,Central Coast (NSW),102011042,Woy Woy - Blackwall,0.04249749,65.69284002,1545.805176,-0.101943575,1440.185756,0.931673524
1650,Central Coast,11650,Central Coast (C) (NSW),102011043,Central Coast (NSW),102011043,Wyoming,0.03488773,55.31881928,1585.623922,-0.078810336,1533.315581,0.967010878
