SA2_16_CODE,SA2_16,LGA_24_CODE,LGA_24,Ratio,Mode,Persons
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Train,8
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Bus,18
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Ferry,0
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Tram,0
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Taxi,0
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,"Car, as driver",947
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,"Car, as passenger",70
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Truck,42
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Motorbike/scooter,4
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Bicycle,4
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Walked only,112
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Other Mode,20
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Worked at home,224
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Did not go to work,163
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Not stated,36
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Not applicable,1581
101021007,Braidwood,16490,Queanbeyan-Palerang,0.9317307,Total,3225
101021008,Karabar,16490,Queanbeyan-Palerang,1,Train,8
101021008,Karabar,16490,Queanbeyan-Palerang,1,Bus,60
101021008,Karabar,16490,Queanbeyan-Palerang,1,Ferry,4
101021008,Karabar,16490,Queanbeyan-Palerang,1,Tram,0
101021008,Karabar,16490,Queanbeyan-Palerang,1,Taxi,13
101021008,Karabar,16490,Queanbeyan-Palerang,1,"Car, as driver",3157
101021008,Karabar,16490,Queanbeyan-Palerang,1,"Car, as passenger",291
101021008,Karabar,16490,Queanbeyan-Palerang,1,Truck,37
101021008,Karabar,16490,Queanbeyan-Palerang,1,Motorbike/scooter,41
101021008,Karabar,16490,Queanbeyan-Palerang,1,Bicycle,16
101021008,Karabar,16490,Queanbeyan-Palerang,1,Walked only,59
101021008,Karabar,16490,Queanbeyan-Palerang,1,Other Mode,14
101021008,Karabar,16490,Queanbeyan-Palerang,1,Worked at home,75
101021008,Karabar,16490,Queanbeyan-Palerang,1,Did not go to work,358
101021008,Karabar,16490,Queanbeyan-Palerang,1,Not stated,51
101021008,Karabar,16490,Queanbeyan-Palerang,1,Not applicable,2438
101021008,Karabar,16490,Queanbeyan-Palerang,1,Total,6622
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Train,9
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Bus,136
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Ferry,0
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Tram,0
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Taxi,14
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,"Car, as driver",4043
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,"Car, as passenger",362
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Truck,42
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Motorbike/scooter,68
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Bicycle,52
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Walked only,240
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Other Mode,17
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Worked at home,94
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Did not go to work,462
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Not stated,56
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Not applicable,3561
101021009,Queanbeyan,16490,Queanbeyan-Palerang,1,Total,9169
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Train,7
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Bus,49
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Ferry,5
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Tram,0
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Taxi,7
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,"Car, as driver",1897
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,"Car, as passenger",165
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Truck,23
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Motorbike/scooter,22
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Bicycle,23
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Walked only,102
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Other Mode,23
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Worked at home,66
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Did not go to work,235
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Not stated,15
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Not applicable,1339
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang,1,Total,3984
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Train,7
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Bus,74
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Ferry,3
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Tram,6
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Taxi,12
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,"Car, as driver",6360
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,"Car, as passenger",451
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Truck,141
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Motorbike/scooter,58
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Bicycle,24
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Walked only,152
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Other Mode,50
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Worked at home,504
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Did not go to work,885
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Not stated,89
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Not applicable,4558
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang,0.9271874,Total,13376
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Train,5
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Bus,59
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Ferry,4
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Tram,5
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Taxi,14
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,"Car, as driver",5520
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,"Car, as passenger",417
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Truck,42
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Motorbike/scooter,76
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Bicycle,38
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Walked only,69
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Other Mode,39
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Worked at home,172
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Did not go to work,639
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Not stated,39
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Not applicable,2603
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang,1,Total,9728
101031013,Bombala,17040,Snowy Monaro,0.9999875,Train,0
101031013,Bombala,17040,Snowy Monaro,0.9999875,Bus,3
101031013,Bombala,17040,Snowy Monaro,0.9999875,Ferry,0
101031013,Bombala,17040,Snowy Monaro,0.9999875,Tram,0
101031013,Bombala,17040,Snowy Monaro,0.9999875,Taxi,0
101031013,Bombala,17040,Snowy Monaro,0.9999875,"Car, as driver",681
101031013,Bombala,17040,Snowy Monaro,0.9999875,"Car, as passenger",45
101031013,Bombala,17040,Snowy Monaro,0.9999875,Truck,29
101031013,Bombala,17040,Snowy Monaro,0.9999875,Motorbike/scooter,6
101031013,Bombala,17040,Snowy Monaro,0.9999875,Bicycle,0
101031013,Bombala,17040,Snowy Monaro,0.9999875,Walked only,60
101031013,Bombala,17040,Snowy Monaro,0.9999875,Other Mode,15
101031013,Bombala,17040,Snowy Monaro,0.9999875,Worked at home,95
101031013,Bombala,17040,Snowy Monaro,0.9999875,Did not go to work,108
101031013,Bombala,17040,Snowy Monaro,0.9999875,Not stated,19
